nominal,data,curs,cdx
1,2024-04-17,94.0742,Доллар США
1,2024-04-16,93.5891,Доллар США
1,2024-04-13,93.4419,Доллар США
1,2024-04-12,93.7196,Доллар США
1,2024-04-11,93.2198,Доллар США
1,2024-04-10,92.7463,Доллар США
1,2024-04-09,92.581,Доллар США
1,2024-04-06,92.4155,Доллар США
1,2024-04-05,92.3058,Доллар США
1,2024-04-04,92.3892,Доллар США
1,2024-04-03,92.5254,Доллар США
1,2024-04-02,92.2914,Доллар США
1,2024-03-30,92.366,Доллар США
1,2024-03-29,92.2628,Доллар США
1,2024-03-28,92.5919,Доллар США
1,2024-03-27,92.5745,Доллар США
1,2024-03-26,92.7761,Доллар США
1,2024-03-23,92.6118,Доллар США
1,2024-03-22,91.9499,Доллар США
1,2024-03-21,92.6861,Доллар США
1,2024-03-20,92.2243,Доллар США
1,2024-03-19,91.9829,Доллар США
1,2024-03-16,91.87,Доллар США
1,2024-03-15,91.6359,Доллар США
1,2024-03-14,91.5449,Доллар США
1,2024-03-13,90.8818,Доллар США
1,2024-03-12,90.6252,Доллар США
1,2024-03-08,90.7493,Доллар США
1,2024-03-07,90.3412,Доллар США
1,2024-03-06,91.1604,Доллар США
1,2024-03-05,91.3534,Доллар США
1,2024-03-02,91.3336,Доллар США
1,2024-03-01,90.8423,Доллар США
1,2024-02-29,91.8692,Доллар США
1,2024-02-28,92.0425,Доллар США
1,2024-02-27,92.6321,Доллар США
1,2024-02-23,92.7519,Доллар США
1,2024-02-22,92.4387,Доллар США
1,2024-02-21,92.349,Доллар США
1,2024-02-20,92.4102,Доллар США
1,2024-02-17,92.5492,Доллар США
1,2024-02-16,91.8237,Доллар США
1,2024-02-15,91.4316,Доллар США
1,2024-02-14,91.2057,Доллар США
1,2024-02-13,91.0758,Доллар США
1,2024-02-10,90.8901,Доллар США
1,2024-02-09,91.2561,Доллар США
1,2024-02-08,91.1514,Доллар США
1,2024-02-07,90.6842,Доллар США
1,2024-02-06,91.2434,Доллар США
1,2024-02-03,90.6626,Доллар США
1,2024-02-02,90.2299,Доллар США
1,2024-02-01,89.6678,Доллар США
1,2024-01-31,89.2887,Доллар США
1,2024-01-30,89.609,Доллар США
1,2024-01-27,89.5159,Доллар США
1,2024-01-26,88.6562,Доллар США
1,2024-01-25,88.2829,Доллар США
1,2024-01-24,87.9199,Доллар США
1,2024-01-23,87.9724,Доллар США
1,2024-01-20,88.5896,Доллар США
1,2024-01-19,88.661,Доллар США
1,2024-01-18,88.354,Доллар США
1,2024-01-17,87.6457,Доллар США
1,2024-01-16,87.6772,Доллар США
1,2024-01-13,88.1324,Доллар США
1,2024-01-12,88.7818,Доллар США
1,2024-01-11,89.3939,Доллар США
1,2024-01-10,90.404,Доллар США
1,2023-12-30,89.6883,Доллар США
1,2023-12-29,90.3041,Доллар США
1,2023-12-28,91.7051,Доллар США
1,2023-12-27,91.7069,Доллар США
1,2023-12-26,91.969,Доллар США
1,2023-12-23,91.9389,Доллар США
1,2023-12-22,91.7062,Доллар США
1,2023-12-21,90.4056,Доллар США
1,2023-12-20,90.087,Доллар США
1,2023-12-19,90.4162,Доллар США
1,2023-12-16,89.6966,Доллар США
1,2023-12-15,89.6741,Доллар США
1,2023-12-14,89.8926,Доллар США
1,2023-12-13,90.2158,Доллар США
1,2023-12-12,90.9846,Доллар США
1,2023-12-09,91.6402,Доллар США
1,2023-12-08,92.5654,Доллар США
1,2023-12-07,92.7826,Доллар США
1,2023-12-06,91.5823,Доллар США
1,2023-12-05,90.6728,Доллар США
1,2023-12-02,89.7619,Доллар США
1,2023-12-01,88.5819,Доллар США
1,2023-11-30,88.8841,Доллар США
1,2023-11-29,88.6102,Доллар США
1,2023-11-28,88.7045,Доллар США
1,2023-11-25,88.8133,Доллар США
1,2023-11-24,88.1206,Доллар США
1,2023-11-23,88.1648,Доллар США
1,2023-11-22,87.8701,Доллар США
1,2023-11-21,88.4954,Доллар США
1,2023-11-18,89.1237,Доллар США
1,2023-11-17,88.9466,Доллар США
1,2023-11-16,89.4565,Доллар США
1,2023-11-15,91.257,Доллар США
1,2023-11-14,92.1185,Доллар США
1,2023-11-11,92.0535,Доллар США
1,2023-11-10,91.9266,Доллар США
1,2023-11-09,92.1973,Доллар США
1,2023-11-08,92.4151,Доллар США
1,2023-11-04,93.0351,Доллар США
1,2023-11-03,93.173,Доллар США
1,2023-11-02,93.2801,Доллар США
1,2023-11-01,92.0226,Доллар США
1,2023-10-31,93.2435,Доллар США
1,2023-10-28,93.2174,Доллар США
1,2023-10-27,93.5616,Доллар США
1,2023-10-26,93.1507,Доллар США
1,2023-10-25,93.5224,Доллар США
1,2023-10-24,94.7081,Доллар США
1,2023-10-21,95.9053,Доллар США
1,2023-10-20,97.3074,Доллар США
1,2023-10-19,97.3724,Доллар США
1,2023-10-18,97.3458,Доллар США
1,2023-10-17,97.2865,Доллар США
1,2023-10-14,97.3075,Доллар США
1,2023-10-13,96.9948,Доллар США
1,2023-10-12,99.9808,Доллар США
1,2023-10-11,99.9349,Доллар США
1,2023-10-10,101.3598,Доллар США
1,2023-10-07,100.4911,Доллар США
1,2023-10-06,99.6762,Доллар США
1,2023-10-05,99.4555,Доллар США
1,2023-10-04,99.2677,Доллар США
1,2023-10-03,98.4785,Доллар США
1,2023-09-30,97.4147,Доллар США
1,2023-09-29,97.0018,Доллар США
1,2023-09-28,96.5,Доллар США
1,2023-09-27,96.2378,Доллар США
1,2023-09-26,96.1456,Доллар США
1,2023-09-23,96.0419,Доллар США
1,2023-09-22,96.0762,Доллар США
1,2023-09-21,96.6172,Доллар США
1,2023-09-20,96.2236,Доллар США
1,2023-09-19,96.6472,Доллар США
1,2023-09-16,96.6338,Доллар США
1,2023-09-15,96.1609,Доллар США
1,2023-09-14,95.9794,Доллар США
